scenario_id,success,out_of_road
124,0.9503568275034079,0.9557731612310036
125,0.9527408682632488,0.6656451358887929
126,0.9623278542248479,0.9623278542248479
127,0.9635394490702102,0.9635394490702102
128,0.9563143661282564,0.9588144116848689
129,0.9542306687006676,0.3713420973173151
130,-1.0,-1.0
131,0.9565468271503336,0.9500335409769263
132,0.9549301291669511,0.9529615350719793
133,0.9667137867234861,0.9729096670501493
134,0.960294770184681,0.9590340794817742
135,0.3890908074054811,0.389012337351655
136,0.9636186784669746,0.9676610378645553
137,0.9566421296117795,0.9566421296117795
138,0.9611732729035404,0.6793637375370044
139,0.9512246769509637,0.9512246769509637
140,0.956099457524093,0.9560973245756386
141,0.9508405396918344,0.9321168483236109
142,0.9556034125204343,0.9556168172259529
143,0.9564399100725177,0.9619975861591731
144,0.9659117563136668,0.9500603828727611
145,0.9658682003939364,0.951827415003806
146,0.9702591006195743,0.8537392750847113
147,0.9575328227566376,0.6838396247388792
148,0.9558474042596298,0.8445964244921785
149,0.9565104387010007,0.8605316355677471
150,0.9585413222686974,0.9585413222686974
151,0.9837343987216123,0.9751510151920779
152,0.9564044995889637,0.9507784809533601
153,0.9573647640759676,0.22284206826471806
154,0.9774349846099187,0.9774392711420992
155,0.9660100462356576,0.9660062072063182
156,0.9545334122975966,0.6857463883052188
157,0.9679206409134867,0.966277703683214
158,0.9772364054585911,0.9772364054585911
159,0.9511711955896559,0.9511711955896559
160,0.9582550753892203,0.9521704599634039
161,0.9541152306229532,0.6131643204943281
162,0.9526603200582902,0.9526603200582902
163,0.9763717240734527,0.9733227115562131
164,0.9550411664666365,0.6451960911983607
165,0.9519134924067087,0.9501365411761169
166,0.9538822673022406,0.45211886139534024
167,0.9616368457046776,0.8521467864859221
168,-1.0,-1.0
169,0.9505077853902355,0.9505077853902355
170,0.9559775362108044,0.9560167373472218
171,0.9961349619570053,0.9961349619570053
172,0.9569187830750265,0.9569187830750265
173,0.9704509317113676,0.9704509317113676
174,0.9538405517231014,0.9538653116299923
175,0.9607797993138164,0.9638557628249192
176,0.9511819081305048,0.7813716645377015
177,0.9503796526912556,0.9503428917225063
178,0.9531347762146006,0.6914211364514131
179,0.008066955770459197,0.008066955770459197
180,0.952075887143529,0.952075887143529
181,0.9508696514511733,0.5242120155677119
182,0.9509871970464312,0.9704225965960264
183,0.9513525463503091,0.9556956545498289
184,0.9536660180784128,0.9585541586493942
185,0.9584885644415905,0.9584885610183164
186,0.9513835926761188,0.0003592541606730112
187,0.9661979169464957,0.9671710403946004
188,0.9829407282807316,0.9654630335642996
189,0.9518466159012084,0.9609210218347221
190,0.9540085153278514,0.9481045928126598
191,0.7486578790901743,0.9517758924404701
192,0.9592381105106791,0.9573444573665939
193,0.9695449328510571,0.9594263884724973
194,0.980512123252714,0.980512123252714
195,0.9507128206555496,0.9659358246991453
196,0.9545315498422119,0.8879898334999415
197,0.964605657830228,0.980906444833533
198,0.9552613888461949,0.6730264487042192
199,0.9564568933742913,0.956445971495816
200,0.9521565199854379,0.9521560899479727
201,0.9594681737543718,0.9382748500392731
202,0.9601878243102568,0.9601878243102568
203,0.9590515599427054,0.9590515599427054
204,0.9544168294001656,0.9568423194538227
205,0.9528123690286205,0.9528123690286205
206,0.952005664818675,0.9574951443678035
207,0.9675393372813991,0.9649616382638385
208,0.9633230313687646,0.8871577323294096
209,0.9583286409760897,0.9583286409760897
210,0.9574394749940622,0.8616884119736107
211,0.9561163649071964,0.9561163649071964
212,0.959990446499073,0.9654689291115546
213,0.9613837915483899,0.9585342502980834
214,0.3828296018288753,0.3828345184744691
215,0.9551813112909587,0.9612265862969486
216,0.9560436238813185,0.9630106963326982
217,0.9649453824706179,0.9649477277090315
